Problem,Num_customer,NV,Distance
R201,25,4.00,463.3
R201,50,6.00,791.9
R201,100,8.00,1143.2
R202,25,4.00,410.5
R202,50,5.00,698.5
R202,100,,
R203,25,3.00,391.4
R203,50,5.00,605.3
R203,100,,
R204,25,2.00,355
R204,50,2.00,506.4
R204,100,,
R205,25,3.00,393
R205,50,4.00,690.1
R205,100,,
R206,25,3.00,374.4
R206,50,4.00,632.4
R206,100,,
R207,25,3.00,361.6
R207,50,,
R207,100,,
R208,25,1.00,328.2
R208,50,,
R208,100,,
R209,25,2.00,370.7
R209,50,4.00,600.6
R209,100,,
R210,25,3.00,404.6
R210,50,4.00,645.6
R210,100,,
R211,25,2.00,350.9
R211,50,3.00,535.5
R211,100,,
