Date: 07-09 at 16:47:30, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1387.40(11) mean: 3926.01, max: 5008.25
Date: 07-09 at 16:48:17, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1208.73(9) mean: 1381.71, max: 1558.54
Date: 07-09 at 16:49:07, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1185.93(8) mean: 1431.60, max: 1608.47
Date: 07-09 at 16:49:53, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1143.81(8) mean: 1555.76, max: 1712.95
Date: 07-09 at 16:50:42, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1102.40(7) mean: 1580.16, max: 1729.34
Date: 07-09 at 16:51:30, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.59(7) mean: 1399.47, max: 1698.32
Date: 07-09 at 16:52:21, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.32(7) mean: 1422.22, max: 1730.80
Date: 07-09 at 16:53:09, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.04(7) mean: 1222.48, max: 1341.16
Date: 07-09 at 16:53:59, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.04(7) mean: 1249.65, max: 1420.93
Date: 07-09 at 16:54:47, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.04(7) mean: 1291.23, max: 1463.76
Date: 07-09 at 16:55:34, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.04(7) mean: 1199.30, max: 1424.17
Date: 07-09 at 16:56:22, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.04(7) mean: 1161.48, max: 1279.36
Date: 07-09 at 16:57:08, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.04(7) mean: 1164.77, max: 1256.58
Date: 07-09 at 16:57:55, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1090.04(7) mean: 1125.85, max: 1240.79
Date: 07-09 at 16:58:39, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1109.08, max: 1183.52
Date: 07-09 at 16:59:26, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1113.36, max: 1157.91
Date: 07-09 at 17:00:10, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1112.19, max: 1212.13
Date: 07-09 at 17:00:56, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1098.34, max: 1147.75
Date: 07-09 at 17:01:40, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1093.33, max: 1153.15
Date: 07-09 at 17:02:24, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1091.30, max: 1132.43
Date: 07-09 at 17:03:07, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1088.57, max: 1133.21
Date: 07-09 at 17:03:51, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1083.09, max: 1100.78
Date: 07-09 at 17:04:38, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1081.76, max: 1095.48
Date: 07-09 at 17:05:19, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1080.78(7) mean: 1081.76, max: 1095.48
