Problem,Num_customer,NV,Opt,Our_floor,Our
R101,100,20,1637.7,1637.7000000000003,1642.8768747103447
R102,100,18,1466.6,1467.6999999999996,1472.814931476457
R103,100,14,1208.7,1220.3000000000002,1225.0899669665398
R104,100,11,971.5,984.5000000000001,989.1710178976515
R105,100,15,1355.3,1373.1000000000001,1378.0763386905537
R106,100,13,1234.6,1259.2999999999997,1263.8845707861142
R107,100,11,1064.6,1084.6000000000006,1089.3114126044375
R108,100,,,952.3000000000001,956.8915468891131
R109,100,13,1146.9,1165.8999999999996,1170.6721677022106
R110,100,12,1068.0,1091.2,1095.5378754241299
R111,100,12,1048.7,1065.3,1069.999276910516
R112,100,,,971.8000000000001,976.27937565178
