Date: 07-13 at 07:29:35, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1809.90(18) mean: 2742.56, max: 3468.73
Date: 07-13 at 07:30:41, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1701.47(18) mean: 2712.23, max: 3363.99
Date: 07-13 at 07:31:47, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1665.17(17) mean: 2663.40, max: 3294.10
Date: 07-13 at 07:32:55, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1601.75(17) mean: 2591.96, max: 3277.90
Date: 07-13 at 07:34:03, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1601.75(17) mean: 2156.91, max: 2854.79
Date: 07-13 at 07:35:09, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1601.75(17) mean: 2194.61, max: 2866.74
Date: 07-13 at 07:36:16, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1601.75(17) mean: 2229.97, max: 2876.11
Date: 07-13 at 07:37:25, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1601.75(17) mean: 2091.85, max: 2717.63
Date: 07-13 at 07:38:36, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1601.75(17) mean: 2075.87, max: 2779.10
Date: 07-13 at 07:39:47, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1601.75(17) mean: 1737.38, max: 1867.86
Date: 07-13 at 07:40:54, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1577.21(16) mean: 1758.73, max: 1950.23
Date: 07-13 at 07:42:01, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1573.46(16) mean: 1731.51, max: 1997.83
Date: 07-13 at 07:43:04, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1573.46(16) mean: 1657.18, max: 1797.33
Date: 07-13 at 07:44:11, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1573.46(16) mean: 1707.70, max: 1859.96
Date: 07-13 at 07:45:17, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1573.46(16) mean: 1676.44, max: 1898.50
Date: 07-13 at 07:46:22, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1573.46(16) mean: 1726.37, max: 1972.71
Date: 07-13 at 07:47:27, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1573.46(16) mean: 1670.78, max: 1827.26
Date: 07-13 at 07:48:30, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1573.46(16) mean: 1647.40, max: 1717.01
Date: 07-13 at 07:49:36, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1573.46(16) mean: 1692.23, max: 1787.25
