Date: 07-02 at 16:00:00, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1972.79(20) mean: 2922.27, max: 3247.09
Date: 07-02 at 16:00:43, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1889.49(20) mean: 2837.17, max: 3236.28
Date: 07-02 at 16:01:29, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1881.99(20) mean: 2798.43, max: 3246.46
Date: 07-02 at 16:02:24, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1831.67(19) mean: 2678.85, max: 3283.32
Date: 07-02 at 16:03:17, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1829.41(19) mean: 2679.29, max: 3321.08
Date: 07-02 at 16:04:13, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1829.41(19) mean: 2588.54, max: 3299.55
Date: 07-02 at 16:05:17, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1829.41(19) mean: 2459.67, max: 3182.85
Date: 07-02 at 16:06:31, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1829.41(19) mean: 2332.79, max: 2941.72
Date: 07-02 at 16:07:43, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1829.41(19) mean: 2160.74, max: 2955.04
Date: 07-02 at 16:08:56, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1829.41(19) mean: 1986.79, max: 2162.55
Date: 07-02 at 16:10:04, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1829.41(19) mean: 2034.86, max: 2246.31
Date: 07-02 at 16:11:17, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1829.41(19) mean: 1909.52, max: 2016.33
