Date: 07-03 at 10:32:59, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1972.45(20) mean: 2867.75, max: 3188.76
Date: 07-03 at 10:34:34, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1914.08(20) mean: 2856.89, max: 3199.78
Date: 07-03 at 10:36:15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1901.81(20) mean: 2811.46, max: 3267.72
Date: 07-03 at 10:37:46, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1898.66(20) mean: 2742.86, max: 3290.00
Date: 07-03 at 10:39:33, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1892.14(21) mean: 2098.65, max: 3042.13
Date: 07-03 at 10:41:06, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1813.21(20) mean: 2118.55, max: 2997.79
Date: 07-03 at 10:42:38, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1806.39(19) mean: 2134.63, max: 3003.78
Date: 07-03 at 10:44:27, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1783.21(19) mean: 1942.87, max: 2111.36
Date: 07-03 at 10:46:03, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1783.21(19) mean: 1958.36, max: 2154.65
Date: 07-03 at 10:47:41, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1783.21(19) mean: 1938.18, max: 2109.22
Date: 07-03 at 10:49:09, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1783.21(19) mean: 1970.23, max: 2130.27
Date: 07-03 at 10:50:54, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1783.21(19) mean: 1951.59, max: 2174.98
Date: 07-03 at 10:52:35, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1783.21(19) mean: 1952.40, max: 2230.18
Date: 07-03 at 10:54:23, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1783.21(19) mean: 1851.15, max: 1966.46
Date: 07-03 at 10:55:57, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1783.21(19) mean: 1897.25, max: 2012.79
Date: 07-03 at 10:57:41, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1878.64, max: 2058.82
Date: 07-03 at 10:59:17, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1864.28, max: 2066.91
Date: 07-03 at 11:01:03, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1849.28, max: 1982.59
Date: 07-03 at 11:02:57, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1832.69, max: 1958.77
Date: 07-03 at 11:04:36, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1838.16, max: 1953.93
Date: 07-03 at 11:06:22, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1832.89, max: 1953.93
Date: 07-03 at 11:08:14, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1831.13, max: 1953.93
Date: 07-03 at 11:09:52, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1850.12, max: 1990.07
Date: 07-03 at 11:11:39, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1826.72, max: 1950.54
Date: 07-03 at 11:13:20, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1828.60, max: 2013.96
Date: 07-03 at 11:15:09, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1800.74, max: 1897.86
Date: 07-03 at 11:16:42, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1808.64, max: 1931.68
Date: 07-03 at 11:18:23, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1752.24(19) mean: 1816.76, max: 1970.25
Date: 07-03 at 11:20:07, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1750.73(19) mean: 1843.59, max: 1991.59
Date: 07-03 at 11:21:38, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1750.73(18) mean: 1889.54, max: 1961.74
Date: 07-03 at 11:23:26, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1750.73(18) mean: 1836.56, max: 1971.41
Date: 07-03 at 11:25:11, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1750.40(18) mean: 1813.79, max: 1890.38
Date: 07-03 at 11:26:55, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1745.84(19) mean: 1809.41, max: 1895.87
Date: 07-03 at 11:28:33, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1745.84(19) mean: 1816.24, max: 1891.07
Date: 07-03 at 11:30:16, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1745.84(19) mean: 1802.69, max: 1866.88
Date: 07-03 at 11:31:58, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1745.84(19) mean: 1840.05, max: 1918.85
Date: 07-03 at 11:33:45, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1745.84(19) mean: 1827.40, max: 1893.23
