Date: 07-15 at 13:52:19, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1760.14(16) mean: 2685.71, max: 2984.62
Date: 07-15 at 13:53:17, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1684.32(16) mean: 2717.32, max: 3090.39
Date: 07-15 at 13:54:10, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1654.14(16) mean: 2623.41, max: 3021.59
Date: 07-15 at 13:55:05, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1654.14(16) mean: 2276.35, max: 2774.38
Date: 07-15 at 13:56:05, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1650.60(17) mean: 1756.72, max: 1906.63
Date: 07-15 at 13:56:53, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1612.82(17) mean: 1785.46, max: 1929.80
Date: 07-15 at 13:57:55, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1611.87(17) mean: 1750.84, max: 1933.16
Date: 07-15 at 13:58:50, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1611.52(17) mean: 1756.64, max: 1947.04
Date: 07-15 at 13:59:48, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1610.93(17) mean: 1694.28, max: 1812.59
Date: 07-15 at 14:00:38, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1610.93(17) mean: 1714.38, max: 1849.37
Date: 07-15 at 14:01:28, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1601.52(16) mean: 1718.73, max: 1909.37
Date: 07-15 at 14:02:26, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1599.37(16) mean: 1674.20, max: 1756.56
Date: 07-15 at 14:03:18, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1599.37(16) mean: 1717.66, max: 1799.70
Date: 07-15 at 14:04:21, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1578.61(17) mean: 1694.10, max: 1808.18
Date: 07-15 at 14:05:17, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1575.12(16) mean: 1706.74, max: 1874.71
Date: 07-15 at 14:06:11, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1575.12(16) mean: 1716.99, max: 1945.45
Date: 07-15 at 14:07:06, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1575.12(16) mean: 1739.97, max: 1983.00
Date: 07-15 at 14:08:02, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1575.12(16) mean: 1689.58, max: 1799.61
