Date: 07-15 at 17:58:01, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1779.98(18) mean: 2849.67, max: 3549.87
Date: 07-15 at 17:58:57, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1703.66(18) mean: 2468.56, max: 3519.64
Date: 07-15 at 17:59:47, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1624.69(18) mean: 2369.49, max: 3343.34
Date: 07-15 at 18:00:55, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1588.32(16) mean: 2282.24, max: 3353.81
Date: 07-15 at 18:01:52, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1583.75(16) mean: 1755.40, max: 1945.77
Date: 07-15 at 18:02:47, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1563.01(16) mean: 1715.26, max: 1936.80
Date: 07-15 at 18:03:39, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1563.01(16) mean: 1738.89, max: 1965.60
Date: 07-15 at 18:04:41, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1563.01(16) mean: 1772.79, max: 2019.83
Date: 07-15 at 18:05:35, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1563.01(16) mean: 1737.62, max: 2067.28
Date: 07-15 at 18:06:38, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1560.69(16) mean: 1641.84, max: 1785.44
Date: 07-15 at 18:07:32, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1560.69(16) mean: 1679.81, max: 1832.65
Date: 07-15 at 18:08:40, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1560.69(16) mean: 1642.07, max: 1708.54
Date: 07-15 at 18:09:37, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1560.69(16) mean: 1689.25, max: 1791.91
Date: 07-15 at 18:10:43, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1560.07(17) mean: 1622.90, max: 1695.39
Date: 07-15 at 18:11:34, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1621.38, max: 1669.49
Date: 07-15 at 18:12:34, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1614.85, max: 1728.56
Date: 07-15 at 18:13:31, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1608.21, max: 1682.23
Date: 07-15 at 18:14:29, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1604.75, max: 1678.73
Date: 07-15 at 18:15:24, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1599.40, max: 1643.83
Date: 07-15 at 18:16:14, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1658.96, max: 1715.50
Date: 07-15 at 18:17:09, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1643.23, max: 1784.55
Date: 07-15 at 18:18:12, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1595.74, max: 1699.03
Date: 07-15 at 18:19:05, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1590.92, max: 1643.49
Date: 07-15 at 18:20:01, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1570.16, max: 1626.17
Date: 07-15 at 18:20:58, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1572.79, max: 1626.17
Date: 07-15 at 18:21:59, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1566.11, max: 1626.17
Date: 07-15 at 18:22:56, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1566.08, max: 1626.39
Date: 07-15 at 18:23:51, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1570.00, max: 1626.34
Date: 07-15 at 18:24:45, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1461.23 best obj: 1527.35(15) mean: 1571.53, max: 1635.55
