Date: 07-13 at 00:52:11, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1726.88(6) mean: 4005.96, max: 4815.26
Date: 07-13 at 00:53:11, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1535.05(14) mean: 3511.71, max: 4445.65
Date: 07-13 at 00:54:10, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1431.20(13) mean: 3476.36, max: 4436.21
Date: 07-13 at 00:55:10, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1387.46(12) mean: 3469.52, max: 4418.16
Date: 07-13 at 00:56:10, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1366.58(12) mean: 3371.39, max: 4291.15
Date: 07-13 at 00:57:12, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1366.58(12) mean: 3277.18, max: 4165.89
Date: 07-13 at 00:58:12, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1366.58(12) mean: 1535.08, max: 1738.47
Date: 07-13 at 00:59:12, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1366.58(12) mean: 1559.91, max: 1650.67
Date: 07-13 at 01:00:11, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1366.58(12) mean: 1617.99, max: 1710.03
Date: 07-13 at 01:01:11, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1366.58(12) mean: 1662.65, max: 1777.91
Date: 07-13 at 01:02:10, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1366.58(12) mean: 1460.44, max: 1585.36
Date: 07-13 at 01:03:10, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1362.39(11) mean: 1473.77, max: 1611.96
Date: 07-13 at 01:04:10, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1360.18(11) mean: 1498.06, max: 1697.46
Date: 07-13 at 01:05:11, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1360.18(11) mean: 1487.02, max: 1614.61
Date: 07-13 at 01:06:13, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1344.08(12) mean: 1436.97, max: 1540.62
Date: 07-13 at 01:07:13, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1339.92(12) mean: 1508.01, max: 1631.67
Date: 07-13 at 01:08:11, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1339.92(12) mean: 1412.46, max: 1507.49
Date: 07-13 at 01:09:14, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1339.92(12) mean: 1438.29, max: 1521.01
Date: 07-13 at 01:10:16, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1323.33(12) mean: 1379.13, max: 1464.92
Date: 07-13 at 01:11:17, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1323.33(12) mean: 1427.59, max: 1522.35
Date: 07-13 at 01:12:17, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1323.33(12) mean: 1372.68, max: 1468.86
Date: 07-13 at 01:13:18, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1319.98(12) mean: 1394.60, max: 1551.33
Date: 07-13 at 01:14:17, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1319.98(12) mean: 1394.21, max: 1495.31
Date: 07-13 at 01:15:19, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1319.98(12) mean: 1419.25, max: 1526.26
Date: 07-13 at 01:16:19, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1319.98(12) mean: 1389.01, max: 1465.97
Date: 07-13 at 01:17:26, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1319.98(12) mean: 1390.10, max: 1500.46
Date: 07-13 at 01:18:27, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1319.98(12) mean: 1446.56, max: 1564.20
Date: 07-13 at 01:19:31, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1319.98(12) mean: 1448.03, max: 1591.71
Date: 07-13 at 01:20:34, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1319.98(12) mean: 1394.81, max: 1456.51
Date: 07-13 at 01:21:45, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1317.66(12) mean: 1348.92, max: 1390.57
Date: 07-13 at 01:22:55, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1315.88(12) mean: 1350.25, max: 1428.05
Date: 07-13 at 01:23:58, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1310.89(12) mean: 1384.44, max: 1476.78
Date: 07-13 at 01:25:07, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1310.89(12) mean: 1341.06, max: 1466.87
Date: 07-13 at 01:26:08, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1310.89(12) mean: 1330.36, max: 1450.24
Date: 07-13 at 01:27:12, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1310.89(12) mean: 1335.08, max: 1439.72
Date: 07-13 at 01:28:17, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1310.89(12) mean: 1332.87, max: 1439.37
Date: 07-13 at 01:29:20, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1309.37(12) mean: 1331.66, max: 1436.98
Date: 07-13 at 01:30:21, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1269.84(12) mean: 1312.00, max: 1343.29
Date: 07-13 at 01:31:24, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1259.95(11) mean: 1318.51, max: 1349.59
Date: 07-13 at 01:32:34, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1259.95(11) mean: 1318.19, max: 1380.47
Date: 07-13 at 01:33:39, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1259.95(11) mean: 1321.82, max: 1369.27
Date: 07-13 at 01:34:42, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1259.95(11) mean: 1309.56, max: 1344.68
Date: 07-13 at 01:35:45, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1259.95(11) mean: 1314.11, max: 1372.62
Date: 07-13 at 01:36:56, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1259.95(11) mean: 1307.23, max: 1317.79
Date: 07-13 at 01:37:54, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1259.95(11) mean: 1306.67, max: 1315.19
Date: 07-13 at 01:38:57, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1251.33(11) mean: 1271.43, max: 1340.89
Date: 07-13 at 01:40:01, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1262.33, max: 1309.85
Date: 07-13 at 01:40:59, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1262.31, max: 1309.85
Date: 07-13 at 01:42:05, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1262.32, max: 1309.85
Date: 07-13 at 01:43:14, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1262.32, max: 1309.85
Date: 07-13 at 01:44:25, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1262.33, max: 1309.85
Date: 07-13 at 01:45:24, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1266.81, max: 1312.90
Date: 07-13 at 01:46:27, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1278.48, max: 1301.78
Date: 07-13 at 01:47:28, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1265.81, max: 1310.65
Date: 07-13 at 01:48:32, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1269.18, max: 1337.79
Date: 07-13 at 01:49:37, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 1095.64 best obj: 1249.08(11) mean: 1264.46, max: 1310.32
